Cond URL, Turb URL, discharge URL,Stream,start date,end date,discharge count,NO3 count,fDOM count,Specific Conductance count,Turbidity count,pH count,DO count,Beginning,End,,,,,,,
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-03-05/enddate=2017-03-07,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-03-05/enddate=2017-03-07,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-03-05/enddate=2017-03-07/,Quebrada Sonadora,3/5/2017 18:30,3/7/2017 18:30,191,0,0,0,0,0,191,3/6/2017 2:29,3/6/2017 16:31,,,,,,1,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-03-06/enddate=2017-03-08,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-03-06/enddate=2017-03-08,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-03-06/enddate=2017-03-08/,Quebrada Sonadora,3/6/2017 0:45,3/8/2017 0:45,191,0,0,0,0,0,191,3/6/2017 16:29,3/7/2017 4:16,,,,,,2,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-03-27/enddate=2017-03-29,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-03-27/enddate=2017-03-29,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-03-27/enddate=2017-03-29/,Quebrada Sonadora,3/27/2017 19:00,3/29/2017 19:00,191,0,0,0,0,0,191,3/7/2017 4:14,3/9/2017 0:01,,,,,,3,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-04-02/enddate=2017-04-04,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-04-02/enddate=2017-04-04,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-04-02/enddate=2017-04-04/,Quebrada Sonadora,4/2/2017 8:45,4/4/2017 8:45,191,0,0,0,0,0,191,3/28/2017 18:14,3/29/2017 20:16,,,,,,4,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-04-15/enddate=2017-04-17,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-04-15/enddate=2017-04-17,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-04-15/enddate=2017-04-17/,Quebrada Sonadora,4/15/2017 17:30,4/17/2017 17:30,191,111,222,222,222,222,191,4/3/2017 7:29,4/4/2017 3:46,,,,,,5,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-04-16/enddate=2017-04-18,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-04-16/enddate=2017-04-18,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-04-16/enddate=2017-04-18/,Quebrada Sonadora,4/16/2017 10:30,4/18/2017 10:30,191,179,358,358,358,358,191,4/16/2017 15:59,4/17/2017 5:46,,,,,,6,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-04-28/enddate=2017-04-30,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-04-28/enddate=2017-04-30,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-04-28/enddate=2017-04-30/,Quebrada Sonadora,4/28/2017 7:00,4/30/2017 7:00,191,192,192,192,192,192,191,4/17/2017 8:59,4/18/2017 6:01,,,,,,7,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-04-29/enddate=2017-05-01,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-04-29/enddate=2017-05-01,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-04-29/enddate=2017-05-01/,Quebrada Sonadora,4/29/2017 10:30,5/1/2017 10:30,191,192,192,192,192,192,191,4/28/2017 6:29,4/29/2017 10:01,,,,,,8,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-04-30/enddate=2017-05-02,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-04-30/enddate=2017-05-02,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-04-30/enddate=2017-05-02/,Quebrada Sonadora,4/30/2017 10:45,5/2/2017 10:45,191,192,192,192,192,192,191,4/29/2017 0:59,4/30/2017 0:01,,,,,,9,Pre-Maria
http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17288/startdate=2017-05-30/enddate=2017-06-01,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17291/startdate=2017-05-30/enddate=2017-06-01,http://odm2admin.cuahsi.org/LCZO/graphfa/samplingfeature%3D3/resultidu=17274/startdate=2017-05-30/enddate=2017-06-01/,Quebrada Sonadora,5/30/2017 14:30,6/1/2017 14:30,191,192,192,192,192,192,191,4/30/2017 3:44,4/30/2017 20:46,,,,,,10,Pre-Maria
